request_num,dns_lookup_ms,tcp_connect_ms,tls_handshake_ms,ttfb_ms,total_time_ms,http_code
1,35.231000,66.984000,0,99.457000,99.548000,200
2,30.539000,68.055000,0,99.826000,99.897000,200
3,32.149000,63.821000,0,95.884000,95.985000,200
4,35.253000,67.077000,0,99.292000,99.387000,200
5,32.396000,72.972000,0,104.594000,104.681000,200
6,32.799000,65.114000,0,97.062000,97.133000,200
7,32.597000,65.063000,0,96.955000,97.040000,200
8,35.140000,67.238000,0,99.034000,99.101000,200
9,30.483000,62.381000,0,94.181000,94.275000,200
10,32.823000,65.692000,0,98.643000,98.896000,200
11,67.807000,100.621000,0,134.083000,134.184000,200
12,37.902000,77.590000,0,117.580000,117.669000,200
13,92.119000,124.109000,0,156.443000,156.526000,200
14,32.144000,64.302000,0,96.024000,96.096000,200
15,30.876000,62.535000,0,94.274000,94.358000,200
16,33.938000,66.297000,0,98.356000,98.424000,200
17,31.070000,66.160000,0,98.270000,98.372000,200
18,37.048000,69.026000,0,100.779000,100.968000,200
19,31.034000,62.883000,0,94.734000,94.834000,200
20,31.461000,63.828000,0,95.488000,95.618000,200
21,32.302000,64.476000,0,96.100000,96.201000,200
22,30.667000,63.977000,0,95.863000,95.957000,200
23,30.976000,62.816000,0,94.452000,94.560000,200
24,34.145000,65.894000,0,97.469000,97.565000,200
25,31.416000,64.603000,0,95.764000,95.826000,200
26,32.468000,69.457000,0,101.303000,101.387000,200
27,33.036000,64.933000,0,97.375000,97.447000,200
28,39.152000,73.932000,0,105.755000,105.888000,200
29,32.593000,64.809000,0,97.566000,97.647000,200
30,34.079000,67.808000,0,100.230000,100.529000,200
31,31.815000,64.112000,0,95.972000,96.054000,200
32,33.512000,81.904000,0,113.825000,113.917000,200
33,33.930000,66.097000,0,97.730000,97.822000,200
34,35.224000,67.430000,0,99.228000,99.299000,200
35,32.376000,64.162000,0,96.056000,96.157000,200
36,30.796000,63.081000,0,95.171000,95.277000,200
37,32.980000,65.225000,0,97.485000,97.572000,200
38,34.333000,66.659000,0,98.489000,98.582000,200
39,32.306000,78.135000,0,110.388000,110.474000,200
40,34.190000,1072.774000,0,1105.452000,1105.546000,200
41,33.278000,65.535000,0,97.949000,98.024000,200
42,31.209000,63.306000,0,95.357000,95.437000,200
43,31.085000,62.886000,0,94.894000,94.978000,200
44,60.764000,93.044000,0,125.693000,125.779000,200
45,32.840000,64.892000,0,97.207000,97.300000,200
46,32.998000,78.402000,0,111.105000,111.210000,200
47,31.951000,63.519000,0,95.500000,95.620000,200
48,36.194000,68.783000,0,101.688000,101.787000,200
49,32.733000,65.721000,0,98.425000,98.517000,200
50,32.583000,64.631000,0,97.075000,97.160000,200
51,34.946000,67.579000,0,99.664000,99.729000,200
52,31.575000,63.388000,0,95.728000,95.809000,200
53,32.854000,65.049000,0,97.512000,97.593000,200
54,31.938000,63.888000,0,96.086000,96.193000,200
55,32.535000,64.548000,0,96.573000,96.677000,200
56,34.722000,66.786000,0,102.639000,102.731000,200
57,34.658000,66.932000,0,98.866000,98.937000,200
58,31.681000,64.027000,0,96.121000,96.243000,200
59,32.765000,74.889000,0,107.476000,107.559000,200
60,32.227000,64.216000,0,96.526000,96.612000,200
61,34.149000,68.817000,0,102.163000,102.306000,200
62,30.714000,71.093000,0,103.156000,103.211000,200
63,31.023000,63.403000,0,95.653000,95.763000,200
64,33.370000,81.573000,0,114.037000,114.119000,200
65,32.921000,65.192000,0,99.722000,99.799000,200
66,29.965000,61.514000,0,93.527000,93.609000,200
67,31.954000,64.878000,0,97.708000,97.810000,200
68,34.601000,66.774000,0,99.120000,99.226000,200
69,33.405000,65.481000,0,97.677000,97.779000,200
70,32.151000,71.398000,0,103.212000,103.300000,200
71,31.650000,64.255000,0,96.933000,97.035000,200
72,34.620000,66.804000,0,99.448000,99.510000,200
73,32.585000,65.010000,0,97.275000,97.364000,200
74,33.635000,66.813000,0,102.373000,102.450000,200
75,32.912000,73.985000,0,109.215000,109.312000,200
76,31.109000,62.866000,0,94.959000,95.073000,200
77,35.691000,71.212000,0,103.267000,103.384000,200
78,31.894000,67.719000,0,99.619000,99.683000,200
79,33.120000,65.176000,0,97.103000,97.196000,200
80,31.914000,63.482000,0,94.705000,94.786000,200
81,33.483000,74.237000,0,106.245000,106.301000,200
82,57.907000,91.186000,0,123.512000,123.620000,200
83,36.014000,68.588000,0,100.812000,100.892000,200
84,36.718000,72.411000,0,105.577000,105.672000,200
85,31.585000,63.509000,0,95.796000,95.874000,200
86,32.649000,70.923000,0,103.048000,103.127000,200
87,32.238000,75.656000,0,107.702000,107.796000,200
88,31.686000,63.477000,0,96.564000,96.621000,200
89,42.493000,74.377000,0,106.501000,106.591000,200
90,29.291000,61.186000,0,93.122000,93.220000,200
91,31.911000,63.859000,0,96.127000,96.218000,200
92,32.188000,63.707000,0,94.874000,94.963000,200
93,30.030000,61.546000,0,94.172000,94.231000,200
94,30.897000,71.825000,0,103.440000,103.507000,200
95,33.683000,65.939000,0,100.980000,101.050000,200
96,32.380000,64.312000,0,108.044000,108.222000,200
97,43.313000,75.916000,0,108.812000,108.923000,200
98,30.853000,62.835000,0,95.111000,95.232000,200
99,34.730000,80.681000,0,113.468000,113.614000,200
100,36.004000,68.723000,0,100.668000,100.793000,200
