request_num,dns_lookup_ms,tcp_connect_ms,tls_handshake_ms,ttfb_ms,total_time_ms,http_code
1,.022000,28.555000,0,59.356000,59.511000,200
2,.022000,29.849000,0,59.101000,59.225000,200
3,.020000,28.645000,0,57.950000,58.259000,200
4,.026000,28.397000,0,56.423000,56.521000,200
5,.021000,28.548000,0,57.197000,57.298000,200
6,.020000,28.184000,0,56.050000,56.145000,200
7,.021000,29.804000,0,57.771000,57.862000,200
8,.024000,28.340000,0,57.123000,57.225000,200
9,.028000,28.361000,0,56.451000,56.542000,200
10,.024000,28.112000,0,56.656000,56.744000,200
11,.037000,29.867000,0,58.929000,59.030000,200
12,.028000,28.324000,0,57.121000,57.265000,200
13,.022000,28.098000,0,56.310000,56.418000,200
14,.042000,29.316000,0,58.301000,58.433000,200
15,.020000,28.827000,0,57.553000,57.637000,200
16,.035000,29.459000,0,58.135000,58.351000,200
17,.041000,29.984000,0,58.655000,58.757000,200
18,.022000,28.565000,0,56.829000,56.948000,200
19,.026000,28.688000,0,56.898000,56.990000,200
20,.020000,28.783000,0,58.121000,58.272000,200
21,.037000,28.592000,0,56.623000,56.726000,200
22,.030000,28.961000,0,57.331000,57.449000,200
23,.035000,30.625000,0,60.329000,60.491000,200
24,.051000,28.567000,0,57.370000,57.509000,200
25,.034000,31.522000,0,61.233000,61.343000,200
26,.026000,29.414000,0,58.348000,58.442000,200
27,.021000,28.628000,0,56.905000,56.997000,200
28,.021000,28.508000,0,56.510000,56.606000,200
29,.024000,30.741000,0,59.600000,59.682000,200
30,.023000,29.189000,0,58.293000,58.428000,200
31,.049000,28.781000,0,57.860000,58.082000,200
32,.022000,28.711000,0,57.735000,57.851000,200
33,.020000,28.899000,0,57.587000,57.722000,200
34,.047000,29.419000,0,58.756000,58.951000,200
35,.029000,29.047000,0,57.557000,57.685000,200
36,.022000,28.162000,0,56.381000,56.469000,200
37,.025000,28.182000,0,56.552000,56.625000,200
38,.021000,28.403000,0,56.229000,56.309000,200
39,.028000,28.378000,0,57.012000,57.212000,200
40,.020000,28.617000,0,56.605000,56.752000,200
41,.173000,29.715000,0,59.686000,59.803000,200
42,.029000,29.101000,0,58.348000,58.420000,200
43,.020000,28.321000,0,57.717000,57.796000,200
44,.021000,28.148000,0,56.095000,56.185000,200
45,.021000,28.512000,0,56.433000,56.520000,200
46,.020000,29.321000,0,57.967000,58.140000,200
47,.026000,28.772000,0,57.254000,57.364000,200
48,.021000,28.063000,0,56.681000,56.771000,200
49,.020000,29.044000,0,59.043000,59.239000,200
50,.021000,28.489000,0,56.678000,56.776000,200
51,.027000,28.274000,0,56.694000,56.858000,200
52,.025000,28.296000,0,56.357000,56.475000,200
53,.055000,29.430000,0,58.515000,58.729000,200
54,.021000,28.799000,0,58.817000,58.967000,200
55,.125000,29.496000,0,58.350000,58.683000,200
56,.048000,29.071000,0,58.037000,58.191000,200
57,.021000,29.450000,0,58.029000,58.123000,200
58,.022000,46.187000,0,84.392000,84.530000,200
59,.043000,28.077000,0,56.523000,56.666000,200
60,.020000,28.227000,0,56.967000,57.248000,200
61,.039000,29.858000,0,58.520000,58.684000,200
62,.020000,28.726000,0,58.252000,58.436000,200
63,.050000,28.439000,0,56.977000,57.215000,200
64,.055000,28.695000,0,57.704000,57.853000,200
65,.022000,29.791000,0,58.421000,58.548000,200
66,.038000,28.630000,0,57.143000,57.369000,200
67,.021000,28.620000,0,58.266000,58.389000,200
68,.041000,29.613000,0,58.857000,59.135000,200
69,.028000,28.853000,0,57.320000,57.396000,200
70,.040000,28.285000,0,57.551000,57.770000,200
71,.022000,28.537000,0,56.648000,56.738000,200
72,.021000,28.611000,0,57.603000,57.726000,200
73,.026000,28.830000,0,57.160000,57.289000,200
74,.024000,29.020000,0,58.937000,59.085000,200
75,.020000,29.954000,0,62.109000,62.201000,200
76,.020000,28.622000,0,57.310000,57.384000,200
77,.048000,28.720000,0,57.261000,57.406000,200
78,.019000,28.576000,0,57.508000,57.649000,200
79,.023000,28.696000,0,57.743000,57.981000,200
80,.022000,30.137000,0,59.873000,60.086000,200
81,.023000,28.589000,0,56.742000,56.821000,200
82,.022000,28.884000,0,57.973000,58.148000,200
83,.018000,29.153000,0,57.767000,57.942000,200
84,.017000,28.753000,0,59.079000,59.212000,200
85,.020000,29.419000,0,58.733000,59.066000,200
86,.023000,29.185000,0,61.563000,61.797000,200
87,.029000,28.634000,0,57.616000,57.805000,200
88,.020000,28.804000,0,57.872000,57.983000,200
89,.032000,28.742000,0,57.109000,57.213000,200
90,.025000,28.190000,0,56.627000,56.767000,200
91,.047000,28.450000,0,56.623000,56.741000,200
92,.022000,28.492000,0,56.892000,56.976000,200
93,.022000,28.305000,0,56.991000,57.125000,200
94,.021000,29.798000,0,58.233000,58.362000,200
95,.037000,29.004000,0,57.634000,57.771000,200
96,.021000,28.782000,0,58.235000,58.390000,200
97,.177000,29.909000,0,58.866000,58.962000,200
98,.020000,29.009000,0,58.550000,58.817000,200
99,.027000,28.397000,0,56.509000,56.634000,200
100,.020000,29.182000,0,59.784000,59.908000,200
