request_num,dns_lookup_ms,tcp_connect_ms,tls_handshake_ms,ttfb_ms,total_time_ms,http_code
1,38.475000,70.840000,0,103.481000,103.607000,200
2,35.810000,68.001000,0,101.455000,101.614000,200
3,36.246000,68.619000,0,101.760000,101.953000,200
4,64.698000,96.563000,0,128.864000,128.968000,200
5,35.537000,68.003000,0,100.780000,100.920000,200
6,36.764000,69.924000,0,103.078000,103.223000,200
7,37.115000,79.929000,0,113.183000,113.294000,200
8,35.731000,68.337000,0,100.932000,101.218000,200
9,37.223000,70.144000,0,102.599000,102.722000,200
10,39.237000,74.557000,0,106.889000,106.962000,200
11,67.626000,101.375000,0,133.658000,133.746000,200
12,32.180000,64.717000,0,97.619000,97.891000,200
13,37.634000,70.466000,0,103.321000,103.431000,200
14,36.156000,77.516000,0,112.894000,113.064000,200
15,36.229000,70.224000,0,102.885000,102.998000,200
16,33.405000,67.234000,0,100.128000,100.205000,200
17,31.772000,63.678000,0,96.098000,96.256000,200
18,34.161000,66.247000,0,98.549000,98.636000,200
19,33.491000,65.498000,0,97.692000,97.756000,200
20,36.488000,75.770000,0,108.316000,108.444000,200
21,34.644000,66.991000,0,99.624000,99.764000,200
22,36.917000,73.207000,0,106.010000,106.176000,200
23,35.927000,68.276000,0,100.984000,101.115000,200
24,36.925000,77.281000,0,110.491000,110.616000,200
25,35.463000,68.341000,0,100.511000,100.616000,200
26,37.205000,69.919000,0,102.441000,102.556000,200
27,36.716000,69.949000,0,103.093000,103.218000,200
28,37.892000,71.290000,0,103.922000,104.010000,200
29,34.336000,66.662000,0,98.831000,98.935000,200
30,34.397000,66.896000,0,100.069000,100.240000,200
31,33.394000,74.751000,0,107.510000,107.794000,200
32,31.048000,63.136000,0,95.812000,95.916000,200
33,34.477000,66.463000,0,99.151000,99.253000,200
34,39.348000,73.367000,0,105.780000,105.937000,200
35,31.797000,64.501000,0,97.073000,97.195000,200
36,33.929000,66.525000,0,99.648000,99.766000,200
37,33.034000,65.546000,0,97.627000,97.723000,200
38,31.191000,63.105000,0,95.546000,95.694000,200
39,32.793000,73.104000,0,105.402000,105.493000,200
40,30.150000,62.147000,0,94.201000,94.267000,200
41,31.466000,63.390000,0,96.618000,96.705000,200
42,33.230000,64.733000,0,97.229000,97.340000,200
43,33.965000,79.278000,0,112.102000,112.222000,200
44,37.769000,71.101000,0,103.751000,103.838000,200
45,34.822000,68.258000,0,102.820000,103.002000,200
46,37.274000,75.619000,0,108.308000,108.435000,200
47,62.201000,93.559000,0,125.515000,125.635000,200
48,35.156000,66.714000,0,98.107000,98.228000,200
49,37.869000,70.413000,0,103.109000,103.304000,200
50,38.854000,72.097000,0,105.430000,105.592000,200
51,32.639000,64.500000,0,96.321000,96.530000,200
52,36.024000,77.916000,0,110.466000,110.644000,200
53,37.264000,69.753000,0,102.604000,102.763000,200
54,35.639000,67.895000,0,100.077000,100.270000,200
55,35.637000,80.465000,0,114.058000,114.390000,200
56,35.819000,68.271000,0,102.806000,102.933000,200
57,34.716000,66.801000,0,99.653000,99.808000,200
58,37.572000,70.133000,0,102.003000,102.136000,200
59,35.459000,68.006000,0,100.546000,100.668000,200
60,36.321000,69.644000,0,101.840000,102.533000,200
61,33.510000,65.428000,0,97.883000,97.949000,200
62,31.077000,62.839000,0,94.580000,94.673000,200
63,35.365000,67.342000,0,99.514000,99.722000,200
64,37.480000,83.299000,0,115.593000,115.752000,200
65,32.606000,64.730000,0,96.796000,96.912000,200
66,37.372000,72.550000,0,106.024000,106.173000,200
67,36.567000,70.534000,0,103.438000,103.562000,200
68,38.420000,86.228000,0,119.466000,119.738000,200
69,31.493000,67.199000,0,100.402000,100.793000,200
70,35.554000,67.932000,0,99.664000,99.756000,200
71,40.447000,73.903000,0,106.492000,106.623000,200
72,37.035000,69.801000,0,102.470000,102.584000,200
73,39.245000,73.143000,0,106.589000,106.837000,200
74,30.827000,63.493000,0,95.873000,95.964000,200
75,36.913000,69.330000,0,101.710000,101.825000,200
76,33.204000,65.336000,0,97.859000,97.974000,200
77,35.347000,68.034000,0,100.490000,100.858000,200
78,32.457000,64.056000,0,95.682000,95.779000,200
79,37.378000,70.203000,0,102.595000,102.777000,200
80,61.775000,109.922000,0,143.607000,143.800000,200
81,34.096000,66.207000,0,98.361000,98.486000,200
82,42.533000,74.580000,0,106.447000,106.603000,200
83,33.997000,65.659000,0,97.905000,98.028000,200
84,37.479000,69.876000,0,104.109000,104.259000,200
85,36.607000,69.850000,0,102.513000,102.622000,200
86,34.672000,77.767000,0,110.139000,110.233000,200
87,32.698000,64.450000,0,96.517000,96.609000,200
88,32.577000,73.196000,0,104.910000,105.016000,200
89,34.389000,66.938000,0,99.549000,99.767000,200
90,36.938000,69.058000,0,101.033000,101.124000,200
91,33.717000,66.423000,0,98.997000,99.144000,200
92,37.454000,69.743000,0,102.315000,102.486000,200
93,37.780000,70.688000,0,102.627000,102.738000,200
94,32.416000,65.733000,0,97.803000,97.893000,200
95,32.787000,64.879000,0,96.810000,96.931000,200
96,36.077000,68.967000,0,103.397000,103.520000,200
97,31.940000,63.919000,0,96.189000,96.304000,200
98,34.051000,66.189000,0,98.449000,98.581000,200
99,33.049000,64.969000,0,97.487000,97.605000,200
100,35.971000,69.203000,0,103.255000,103.651000,200
